"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 26-Sep-2023"
"NIFTY 100","27,068.30","27,153.00","27,056.85","27,051.65","27,141.50","-","89.85","0.33","51,27,10,400","37,387.90","27,087.90","18,743.30","3.74","37.98"
"VEDL","484.55","504.90","477.00","479.85","502.50","-","22.65","4.72","3,52,49,900","1,738.17","506.75","208.00","3.62","114.22"
"MARUTI","12,835.00","13,411.00","12,830.00","12,785.30","13,350.00","-","564.70","4.42","11,42,504","1,507.84","13,680.00","9,737.65","4.42","21.11"
"MOTHERSON","204.70","213.00","202.61","205.48","211.54","-","6.06","2.95","3,57,73,408","747.49","213.00","86.80","3.80","110.86"
"TRENT","7,724.90","7,939.90","7,710.55","7,614.90","7,830.00","-","215.10","2.82","13,95,517","1,094.22","7,939.90","1,945.00","9.95","254.02"
"M&M","3,072.00","3,176.60","3,045.65","3,091.05","3,172.20","-","81.15","2.63","31,10,808","965.68","3,174.85","1,450.00","10.67","93.77"
"TATAMOTORS","970.80","989.00","965.60","963.60","988.15","-","24.55","2.55","1,52,69,799","1,498.27","1,179.00","608.30","-11.79","55.47"
"BAJAJFINSV","1,940.00","1,976.70","1,930.15","1,928.50","1,974.55","-","46.05","2.39","17,24,993","337.51","1,976.70","1,419.05","14.37","23.01"
"GRASIM","2,674.00","2,727.10","2,656.20","2,662.00","2,725.30","-","63.30","2.38","6,64,710","178.69","2,877.75","1,828.05","-2.73","35.96"
"TATASTEEL","162.00","165.40","160.48","161.66","165.28","-","3.62","2.24","6,53,13,086","1,067.87","184.60","114.60","3.83","25.42"
"JSWSTEEL","984.00","1,004.90","975.45","982.65","1,004.10","-","21.45","2.18","15,50,869","154.08","1,009.80","723.00","1.99","26.04"
"HINDALCO","718.45","734.90","710.70","718.45","734.00","-","15.55","2.16","72,66,373","528.58","734.80","448.75","0.93","52.38"
"PNB","105.20","107.47","104.56","105.05","107.31","-","2.26","2.15","2,66,96,686","283.87","142.90","67.35","-9.56","32.39"
"GAIL","226.95","230.76","224.87","225.59","230.35","-","4.76","2.11","2,07,66,844","474.23","246.30","116.15","-4.11","85.59"
"BAJAJ-AUTO","12,460.00","12,676.50","12,391.05","12,397.25","12,617.25","-","220.00","1.77","3,71,579","465.69","12,676.50","4,903.05","18.83","144.56"
"SHRIRAMFIN","3,537.10","3,585.50","3,529.55","3,524.05","3,585.45","-","61.40","1.74","4,99,974","177.48","3,623.65","1,760.85","11.44","86.99"
"BAJFINANCE","7,640.00","7,755.00","7,587.55","7,623.90","7,749.10","-","125.20","1.64","10,60,031","812.98","8,192.00","6,187.80","12.47","-3.14"
"TATAPOWER","470.00","477.85","465.55","468.10","474.80","-","6.70","1.43","1,50,47,967","711.89","477.85","230.80","10.79","80.14"
"EICHERMOT","4,915.00","4,979.65","4,890.00","4,895.25","4,963.75","-","68.50","1.40","5,44,062","269.38","5,062.20","3,275.00","0.41","40.99"
